Time slots ,Solar,Solar2
1378,0,80.726
1379,5,197.588
1380,14,281.595
1381,72,489.513
1382,126,541.552
1383,899,872.609
1384,820,661.665
1385,661,402.348
1386,298,135.871
1387,0,38
1388,0,38
1389,0,38
1390,0,38
1391,0,38
1392,0,38
1393,0,38
1394,0,38
1395,0,38
1396,0,38
1397,0,38
1398,0,38
1399,0,38
1400,454,229.112
1401,703,497.105
1402,819,735.564
1403,884,920.432
1404,931,1029.358
1405,943,1056.696
1406,933,998.298
1407,918,866.372
1408,852,665.147
1409,717,411.246
1410,0,67.755
1411,0,38
1412,0,38
1413,0,38
1414,0,38
1415,0,38
1416,0,38
1417,0,38
1418,0,38
1419,0,38
1420,0,38
1421,0,38
1422,0,38
1423,0,38
1424,566,252.733
1425,787,524.233
1426,878,763.317
1427,924,939.45
1428,196,634.589
1429,411,806.256
1430,8,213.32
1431,389,648.687
1432,380,496.814
1433,331,300.156
1434,429,154.088
1435,0,38
1436,0,38
1437,0,38
1438,0,38
1439,0,38
1440,0,38
1441,0,38
1442,0,38
1443,0,38
1444,0,38
1445,0,38
1446,0,38
1447,0,38
1448,126,148.969
1449,514,435.462
1450,749,707.916
1451,605,812.845
1452,482,838.858
1453,509,884.718
1454,746,946.421
1455,616,760.473
1456,591,577.782
1457,608,382.266
1458,241,126.851
1459,0,38
1460,0,38
1461,0,38
1462,0,38
1463,0,38
1464,0,38
1465,0,38
1466,0,38
1467,0,38
1468,0,38
1469,0,38
1470,0,38
1471,0,38
1472,631,268.501
1473,846,547.198
1474,936,786.84
1475,980,969.08
1476,985,1070.276
1477,983,1092.397
1478,965,1031.564
1479,938,893.185
1480,872,688.203
1481,744,428.089
1482,486,162.82
1483,0,38
1484,0,38
1485,0,38
1486,0,38
1487,0,38
1488,0,38
1489,0,38
1490,0,38
1491,0,38
1492,0,38
1493,0,38
1494,0,38
1495,0,38
1496,664,277.251
1497,871,556.704
1498,958,800.175
1499,1003,985.321
1500,1015,1090.406
1501,1017,1114.487
1502,1005,1055.005
1503,978,914.087
1504,910,701.201
1505,777,439.301
1506,483,163.466
1507,0,38
1508,0,38
1509,0,38
1510,0,38
1511,0,38
1512,0,38
1513,0,38
1514,0,38
1515,0,38
1516,0,38
1517,0,38
1518,0,38
1519,0,38
1520,645,277.618
1521,850,555.652
1522,940,796.517
1523,986,979.929
1524,1000,1086.359
1525,1005,1111.648
1526,994,1052.209
1527,959,909.109
1528,896,701.77
1529,767,439.855
1530,468,164.683
1531,0,38
1532,0,38
1533,0,38
1534,0,38
1535,0,38
1536,0,38
1537,0,38
1538,0,38
1539,0,38
1540,0,38
1541,0,38
1542,0,38
1543,0,38
1544,73,142.748
1545,632,481.855
1546,665,692.806
1547,511,778.066
1548,323,755.984
1549,493,888.211
1550,248,667.33
1551,205,543.838
1552,358,493.297
1553,0,144.581
1554,0,57.897
1555,0,38
1556,0,38
1557,0,38
1558,0,38
1559,0,38
1560,0,38
1561,0,38
1562,0,38
1563,0,38
1564,0,38
1565,0,38
1566,0,38
1567,0,38
1568,42,131.034
1569,247,354.28
1570,901,776.702
1571,953,957.399
1572,646,952.466
1573,301,762.604
1574,6,195.538
1575,137,488.222
1576,555,572.105
1577,208,272
1578,54,94.386
1579,0,38
1580,0,38
1581,0,38
1582,0,38
1583,0,38
1584,0,38
1585,0,38
1586,0,38
1587,0,38
1588,0,38
1589,0,38
1590,0,38
1591,0,38
1592,8,115.972
1593,4,173.795
1594,470,621.566
1595,8,216.787
1596,10,228.186
1597,2,162.563
1598,25,350.888
1599,18,281.986
1600,146,382.285
1601,798,446.869
1602,500,169.221
1603,0,38
1604,0,38
1605,0,38
1606,0,38
1607,0,38
1608,0,38
1609,0,38
1610,0,38
1611,0,38
1612,0,38
1613,0,38
1614,0,38
1615,0,38
1616,658,292.027
1617,859,572.154
1618,947,812.953
1619,992,996.382
1620,1002,1099.856
1621,1004,1122.354
1622,988,1058.215
